
 num     #instances         #bytes  class name
----------------------------------------------
   1:         77036       11914584  <constMethodKlass>
   2:         77036        9871520  <methodKlass>
   3:         68611        9563032  [C
   4:          6776        8366184  <constantPoolKlass>
   5:          6776        5046944  <instanceKlassKlass>
   6:          5712        5029312  <constantPoolCacheKlass>
   7:         16848        2732984  [B
   8:          5756        2463296  [I
   9:         66006        1584144  java.lang.String
  10:          1988        1271960  <methodDataKlass>
  11:         15677        1254160  java.lang.reflect.Method
  12:         23632         756224  java.util.HashMap$Entry
  13:          7373         718768  java.lang.Class
  14:          9337         644280  [S
  15:          3570         572232  [Ljava.util.HashMap$Entry;
  16:         10955         569336  [[I
  17:         14846         433608  [Ljava.lang.String;
  18:          7601         350288  [Ljava.lang.Object;
  19:         10678         341696  java.util.concurrent.ConcurrentHashMap$HashEntry
  20:           580         315520  <objArrayKlassKlass>
  21:          3447         248184  java.lang.reflect.Field
  22:          5818         232720  java.util.LinkedHashMap$Entry
  23:          4795         230160  java.util.HashMap
  24:         10546         224184  [Ljava.lang.Class;
  25:          6913         221216  java.lang.ref.WeakReference
  26:          5250         210000  java.lang.ref.SoftReference
  27:          6173         148152  java.util.ArrayList
  28:          2585         144760  java.beans.MethodDescriptor
  29:          4042         129344  java.util.Hashtable$Entry
  30:          1692         121824  java.lang.reflect.Constructor
  31:          7591         121456  java.lang.Object
  32:          1115         103072  [Ljava.lang.reflect.Method;
  33:           100          95416  [J
  34:          1644          92064  java.util.LinkedHashMap
  35:           515          92016  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  36:           950          68400  java.beans.PropertyDescriptor
  37:          2391          66120  [Z
  38:           181          58832  [Ljava.util.WeakHashMap$Entry;
  39:          1220          58560  java.lang.Class$ReflectionData
  40:          1426          57040  javax.servlet.jsp.tagext.TagAttributeInfo
  41:          2371          56904  org.springframework.transaction.interceptor.AbstractFallbackTransactionAttributeSource$DefaultCacheKey
  42:          3361          53776  java.lang.Integer
  43:           545          52320  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  44:           985          49640  [[Ljava.lang.String;
  45:           337          47872  [Ljava.util.Hashtable$Entry;
  46:          1444          46208  com.sun.org.apache.xerces.internal.xni.QName
  47:          1130          45200  java.util.TreeMap$Entry
  48:           846          40608  org.apache.tomcat.util.modeler.AttributeInfo
  49:          1139          36448  antlr.ANTLRHashString
  50:          1020          32640  java.util.concurrent.ConcurrentLinkedQueue$Itr
  51:           221          30616  [[C
  52:           880          28160  java.util.concurrent.locks.ReentrantLock$NonfairSync
  53:            13          26832  [Lognl.internal.Entry;
  54:           362          26064  org.apache.jasper.compiler.Node$TemplateText
  55:           536          25728  org.hibernate.hql.ast.tree.Node
  56:           767          24544  java.io.File
  57:            52          24128  org.hibernate.persister.entity.SingleTableEntityPersister
  58:           500          24000  org.apache.tomcat.util.buf.ByteChunk
  59:           422          23632  org.apache.jasper.compiler.Mark
  60:           320          23040  java.util.logging.Logger
  61:           260          22880  org.hibernate.loader.entity.EntityLoader
  62:           396          22176  java.lang.Package
  63:           515          20600  java.util.concurrent.ConcurrentHashMap$Segment
  64:          1278          20448  java.util.HashSet
  65:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
  66:           825          19712  [Ljava.lang.reflect.Constructor;
  67:           410          19680  org.apache.tomcat.util.buf.MessageBytes
  68:           593          18976  javax.management.MBeanAttributeInfo
  69:           781          18744  sun.reflect.generics.tree.SimpleClassTypeSignature
  70:           465          18600  org.hibernate.loader.DefaultEntityAliases
  71:           289          18496  java.net.URL
  72:           839          17960  [Ljava.lang.reflect.Type;
  73:           442          17680  org.apache.tomcat.util.buf.CharChunk
  74:           275          17600  org.hibernate.mapping.Column
  75:           232          16704  java.util.regex.Pattern
  76:           410          16400  org.hibernate.tuple.StandardProperty
