class_loader	classes	bytes	parent_loader	alive?	type

<bootstrap>	2430	14191552	  null  	live	<internal>
0x00000000e8bc1df0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d05678	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76983a8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81b00d8	1	3056	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cb90	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc19b0	24	196336	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e7d6cd88	1	3056	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0c9b8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1cf0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8cef820	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76982a8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81affd8	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8cebce8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3c9a0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced698	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc2070	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cdd0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1ff0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e885c678	1	3056	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8a06028	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1bb0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced598	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cbb8	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7d11e48	1	3032	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76985e8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3ccd0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1ef0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cab8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e79938b8	1	3088	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bbed58	32	237944	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8c946e0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76984e8	1	3072	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e3148	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76983e8	1	3032	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8cec7f0	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1db0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1ac8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8b620b0	20	99440	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e81b0180	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7697b98	1560	13325832	0x00000000e7698028	live	org/apache/catalina/loader/StandardClassLoader@0x00000000fb16fe88
0x00000000e8d0c9f8	1	3048	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7d12298	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81b0098	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76981c0	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cbd0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76982e8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1cb0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e86901c0	31	227600	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8bc18f0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced6d8	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81aff98	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cad0	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8cebca8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1fb0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8378148	1	3032	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e885c638	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc2030	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cd90	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8c947a0	1	1888	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76985a8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1bf0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced5d8	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cbf8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1eb0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cc90	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc2130	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76984a8	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e3108	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0caf8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81b0058	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cb10	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced718	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8690110	22	159176	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8bc1930	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0c938	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1d70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7792260	0	0	0x00000000e7698028	dead	java/util/ResourceBundle$RBClassLoader@0x00000000fb63b058
0x00000000e81b0140	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698328	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8b61ff0	20	98400	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8cebc68	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced618	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7e56c40	1	1888	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698118	1	3072	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1b08	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1c70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cb38	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e30c8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8aa2d48	20	98128	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8c94760	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698568	1	3072	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e79935e8	3344	20026448	0x00000000e7697b98	live	org/apache/catalina/loader/WebappClassLoader@0x00000000fb9bf5a0
0x00000000e8bc20f0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8136fd8	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8b62050	20	97872	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e7f3cd50	1	3288	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8378188	1	3032	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
